Case C

A    Z   N_rad  P_rad  NS     Chr     BE     Esymc    rp       cp       wp       rn       cn       wn 
********************************************************************************************************
40  20  3.414  3.451  -0.037  3.556  -8.328  0.000   4.04189  0.39073  0.00000  4.00089  0.38527  0.00000
40  21  3.388  3.486  -0.098  3.590  -8.097  18.969  4.06379  0.40314  0.00000  3.98322  0.37673  0.00000
40  22  3.364  3.525  -0.161  3.628  -7.768  17.504  4.08452  0.41803  0.00000  3.96536  0.36922  0.00000
40  23  3.341  3.568  -0.227  3.670  -7.340  17.046  4.10335  0.43620  0.00000  3.94700  0.36263  0.00000
40  24  3.319  3.618  -0.299  3.718  -6.818  16.649  4.11902  0.45874  0.00000  3.92750  0.35693  0.00000
40  25  3.297  3.676  -0.379  3.774  -6.205  16.196  4.12945  0.48715  0.00000  3.90575  0.35226  0.00000
40  26  3.273  3.749  -0.475  3.846  -5.507  15.601  4.12769  0.52659  0.00000  3.87901  0.34953  0.00000
40  27  3.248  3.840  -0.593  3.935  -4.730  14.889  4.10945  0.57802  0.00000  3.84463  0.34855  0.00000
*********************************************************************************************************
48  20  3.699  3.534  0.164  3.637  -8.486  18.358   4.21504  0.36412  0.00000  4.30705  0.42949  0.00000
48  21  3.668  3.558  0.111  3.660  -8.569  18.706   4.23601  0.37003  0.00000  4.29336  0.41652  0.00000
48  22  3.642  3.583  0.059  3.684  -8.579  19.363   4.25642  0.37714  0.00000  4.27864  0.40604  0.00000
48  23  3.617  3.609  0.008  3.709  -8.516  22.402   4.27661  0.38513  0.00000  4.26383  0.39682  0.00000
48  24  3.594  3.636  -0.042  3.736  -8.381  0.000   4.29656  0.39420  0.00000  4.24902  0.38867  0.00000
48  25  3.573  3.666  -0.093  3.765  -8.173  21.030  4.31615  0.40464  0.00000  4.23427  0.38139  0.00000
48  26  3.554  3.699  -0.145  3.797  -7.894  18.431  4.33451  0.41770  0.00000  4.21925  0.37538  0.00000
48  27  3.535  3.735  -0.200  3.832  -7.543  17.823  4.35228  0.43240  0.00000  4.20430  0.36963  0.00000
*********************************************************************************************************
208  82  5.771  5.600  0.171  5.665  -7.713  22.198  7.01072  0.36802  0.00000  7.10108  0.47016  0.00000
208  83  5.763  5.606  0.157  5.671  -7.712  22.298  7.01696  0.36928  0.00000  7.09640  0.46605  0.00000
208  84  5.756  5.612  0.144  5.677  -7.707  22.405  7.02328  0.37059  0.00000  7.09184  0.46209  0.00000
208  85  5.748  5.618  0.130  5.683  -7.696  22.520  7.02967  0.37195  0.00000  7.08741  0.45829  0.00000
208  86  5.741  5.624  0.117  5.689  -7.680  22.646  7.03615  0.37337  0.00000  7.08311  0.45464  0.00000
208  87  5.734  5.630  0.104  5.695  -7.659  22.788  7.04274  0.37484  0.00000  7.07895  0.45112  0.00000
208  88  5.727  5.637  0.090  5.702  -7.632  22.950  7.04942  0.37637  0.00000  7.07492  0.44773  0.00000
208  89  5.721  5.643  0.078  5.708  -7.601  23.138  7.05622  0.37795  0.00000  7.07105  0.44446  0.00000
*********************************************************************************************************
16  8  2.681  2.702  -0.021  2.834  -7.410  0.000    3.01023  0.36717  0.00000  2.99077  0.36306  0.00000
16  9  2.619  2.783  -0.165  2.912  -6.928  14.306   3.04990  0.39589  0.00000  2.94840  0.34472  0.00000
16  10  2.561  2.891  -0.330  3.015  -5.953  13.645  3.07143  0.44175  0.00000  2.90153  0.33012  0.00000
16  11  2.501  3.053  -0.552  3.171  -4.526  12.523  3.04754  0.52088  0.00000  2.84179  0.31916  0.00000
16  12  2.426  3.373  -0.947  3.481  -2.737  10.549  2.85356  0.68579  0.00000  2.73784  0.31694  0.00000
16  13  2.312  4.327  -2.015  4.387  -0.805  6.996   1.64393  1.12080  0.00000  2.51265  0.33573  0.00000
